word	file	lines
Arial	index.Rmd	60
bioinformatics	index.Rmd	22
cosmo	index.Rmd	56
ico	index.Rmd	59
ICTR	index.Rmd	66
itcr	index.Rmd	51
navbar	index.Rmd	56,57,70
Neue	index.Rmd	60
px	index.Rmd	70
repo	index.Rmd	53
spacelab	index.Rmd	56
